Entity,Type
TY22029,Engine Oil
S100,Tractor
S110,Tractor
X330,Tractor
MCYP340PF,Battery
TY25221B,Battery
44 Snow Blower,Attachment
Edge,Attachment
John Deere,Organization
USA,Location
Canada,Location
John Deere factory tested battery. Maintenance free battery for maximum convenience. Anchored plates for superior vibration protection. Superior cold cranking amps for increased power in cold conditions,Documentation
Recommended for lawn and garden tractors riding mowers and other outdoor equipment with four-cylinder gasoline engines. Available in SAE 10W-30 and SAW 5W-30. Multiple viscosity grades produce rapid oil circulation in both cold and hot weather.,Documentation
Removing Mower Blades: Park machine safely. (See Parking Safely in Safety section.) Raise mower deck to gain access to mower blades. If necessary remove mower deck. Block mower blade with a piece of wood to prevent it from spinning. Loosen and remove nut (A) washer (B) and blade (C). Inspect blades; sharpen balance or replace blades as necessary. Installing Mower Blades: Position mower blade (C) with the cutting edge towards the ground. Align the splined center hole in the blade with the splined spindle shaft (D) and put the blade onto the mower spindle shaft. Install washer with cupped side towards blade and install nut to secure blade onto splined spindle shaft. Block mower blade with a piece of wood to prevent spinning and tighten nut. Using 15/16 in socket tighten 5/8 in blade nut to specifications.,Documentation
